
======================================================================
SESSION START  2026-04-21 23:19:33
======================================================================
T00228 | bfs            | rule=DEFAULT_PLANNER                | path=  15 | nodes=  448 |  1.080ms |    | dir=(0, -1) | score=0
T00229 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  406 |  1.745ms |    | dir=(0, -1) | score=0
T00230 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  362 |  1.863ms |    | dir=(0, -1) | score=0
T00231 | bfs            | rule=DEFAULT_PLANNER                | path=  12 | nodes=  318 |  1.259ms |    | dir=(0, -1) | score=0
T00232 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  273 |  1.126ms |    | dir=(0, -1) | score=0
T00233 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  229 |  1.188ms |    | dir=(0, -1) | score=0
T00234 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  189 |  0.903ms |    | dir=(0, -1) | score=0
T00235 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  153 |  0.713ms |    | dir=(0, -1) | score=0
T00236 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  121 |  0.747ms |    | dir=(0, -1) | score=0
T00237 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=   93 |  0.445ms |    | dir=(0, -1) | score=0
T00238 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   75 |  0.703ms |    | dir=(-1, 0) | score=0
T00239 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   57 |  0.658ms |    | dir=(-1, 0) | score=0
T00240 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   37 |  0.476ms |    | dir=(-1, 0) | score=0
T00241 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   21 |  0.662ms |    | dir=(-1, 0) | score=0
T00242 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.455ms | FB | dir=(-1, 0) | score=0
EVENT  FOOD_EATEN score=1
T00243 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=  103 |  0.783ms |    | dir=(0, 1) | score=1
T00244 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   62 |  1.283ms |    | dir=(0, 1) | score=1
T00245 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   44 |  0.550ms |    | dir=(0, 1) | score=1
T00246 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   32 |  0.661ms |    | dir=(-1, 0) | score=1
T00247 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   19 |  0.548ms |    | dir=(-1, 0) | score=1
T00248 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.483ms | FB | dir=(-1, 0) | score=1
EVENT  FOOD_EATEN score=2
T00249 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  242 |  1.187ms |    | dir=(0, 1) | score=2
T00250 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  175 |  1.099ms |    | dir=(0, 1) | score=2
T00251 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  141 |  0.884ms |    | dir=(0, 1) | score=2
T00252 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  111 |  0.826ms |    | dir=(0, 1) | score=2
T00253 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=   83 |  0.716ms |    | dir=(0, 1) | score=2
T00254 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   59 |  0.660ms |    | dir=(0, 1) | score=2
T00255 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   40 |  0.260ms |    | dir=(0, 1) | score=2
T00256 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   25 |  0.566ms |    | dir=(0, 1) | score=2
T00257 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   14 |  0.538ms |    | dir=(0, 1) | score=2
T00258 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.354ms | FB | dir=(-1, 0) | score=2
EVENT  FOOD_EATEN score=3
T00259 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  300 |  1.367ms |    | dir=(0, 1) | score=3
T00260 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  256 |  1.844ms |    | dir=(1, 0) | score=3
T00261 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  195 |  1.006ms |    | dir=(1, 0) | score=3
T00262 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  172 |  0.977ms |    | dir=(1, 0) | score=3
T00263 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  136 |  0.846ms |    | dir=(1, 0) | score=3
T00264 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=  106 |  0.985ms |    | dir=(1, 0) | score=3
T00265 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   78 |  0.718ms |    | dir=(1, 0) | score=3
T00266 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   55 |  0.483ms |    | dir=(1, 0) | score=3
T00267 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   36 |  0.839ms |    | dir=(1, 0) | score=3
T00268 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   21 |  0.301ms |    | dir=(1, 0) | score=3
T00269 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.467ms | FB | dir=(1, 0) | score=3
EVENT  FOOD_EATEN score=4
T00270 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  407 |  2.203ms |    | dir=(0, -1) | score=4
T00271 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  359 |  2.354ms |    | dir=(0, -1) | score=4
T00272 | bfs            | rule=DEFAULT_PLANNER                | path=  12 | nodes=  315 |  1.332ms |    | dir=(0, -1) | score=4
T00273 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  271 |  1.237ms |    | dir=(0, -1) | score=4
T00274 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  229 |  1.083ms |    | dir=(0, -1) | score=4
T00275 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  191 |  1.488ms |    | dir=(0, -1) | score=4
T00276 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  164 |  0.938ms |    | dir=(-1, 0) | score=4
T00277 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  129 |  0.826ms |    | dir=(-1, 0) | score=4
T00278 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=   99 |  0.755ms |    | dir=(-1, 0) | score=4
T00279 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   74 |  0.679ms |    | dir=(-1, 0) | score=4
T00280 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   54 |  0.625ms |    | dir=(-1, 0) | score=4
T00281 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   36 |  0.287ms |    | dir=(-1, 0) | score=4
T00282 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   21 |  0.335ms |    | dir=(-1, 0) | score=4
T00283 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.466ms | FB | dir=(-1, 0) | score=4
EVENT  FOOD_EATEN score=5
T00284 | bfs            | rule=DEFAULT_PLANNER                | path=  12 | nodes=  323 |  1.675ms |    | dir=(0, -1) | score=5
T00285 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  269 |  1.549ms |    | dir=(0, -1) | score=5
T00286 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  248 |  2.302ms |    | dir=(1, 0) | score=5
T00287 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  181 |  1.850ms |    | dir=(1, 0) | score=5
T00288 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  155 |  2.513ms |    | dir=(1, 0) | score=5
T00289 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  132 |  0.827ms |    | dir=(1, 0) | score=5
T00290 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=  101 |  0.775ms |    | dir=(1, 0) | score=5
T00291 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   77 |  0.722ms |    | dir=(1, 0) | score=5
T00292 | dfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   13 |  0.763ms |    | dir=(1, 0) | score=5
T00293 | dfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   10 |  1.116ms |    | dir=(1, 0) | score=5
T00294 | dfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=    7 |  0.590ms |    | dir=(1, 0) | score=5
T00295 | dfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.839ms | FB | dir=(1, 0) | score=5
EVENT  FOOD_EATEN score=6
T00296 | dfs            | rule=DEFAULT_PLANNER                | path= 256 | nodes=  522 |  1.670ms |    | dir=(1, 0) | score=6
T00297 | dfs            | rule=DEFAULT_PLANNER                | path= 255 | nodes=  706 |  2.748ms |    | dir=(1, 0) | score=6
T00298 | dfs            | rule=DEFAULT_PLANNER                | path= 254 | nodes=  706 |  2.087ms |    | dir=(1, 0) | score=6
T00299 | dfs            | rule=DEFAULT_PLANNER                | path= 253 | nodes=  706 |  1.872ms |    | dir=(1, 0) | score=6
T00300 | dfs            | rule=DEFAULT_PLANNER                | path= 252 | nodes=  706 |  2.790ms |    | dir=(1, 0) | score=6
T00301 | dfs            | rule=DEFAULT_PLANNER                | path= 251 | nodes=  706 |  2.154ms |    | dir=(1, 0) | score=6
T00302 | dfs            | rule=DEFAULT_PLANNER                | path= 250 | nodes=  706 |  2.547ms |    | dir=(1, 0) | score=6
T00303 | dfs            | rule=DEFAULT_PLANNER                | path= 249 | nodes=  706 |  1.952ms |    | dir=(1, 0) | score=6
T00304 | dfs            | rule=DEFAULT_PLANNER                | path= 279 | nodes=  567 |  1.803ms |    | dir=(1, 0) | score=6
T00305 | dfs            | rule=DEFAULT_PLANNER                | path= 278 | nodes=  565 |  1.627ms |    | dir=(1, 0) | score=6
T00306 | dfs            | rule=DEFAULT_PLANNER                | path= 277 | nodes=  563 |  2.613ms |    | dir=(1, 0) | score=6
T00307 | dfs            | rule=DEFAULT_PLANNER                | path= 276 | nodes=  561 |  1.677ms |    | dir=(1, 0) | score=6
T00308 | dfs            | rule=DEFAULT_PLANNER                | path= 275 | nodes=  559 |  1.659ms |    | dir=(1, 0) | score=6
T00309 | dfs            | rule=DEFAULT_PLANNER                | path= 274 | nodes=  557 |  1.824ms |    | dir=(1, 0) | score=6
T00310 | dfs            | rule=DEFAULT_PLANNER                | path= 273 | nodes=  555 |  2.009ms |    | dir=(1, 0) | score=6
T00311 | dfs            | rule=DEFAULT_PLANNER                | path= 272 | nodes=  553 |  1.583ms |    | dir=(1, 0) | score=6
T00312 | dfs            | rule=DEFAULT_PLANNER                | path= 271 | nodes=  551 |  0.840ms |    | dir=(1, 0) | score=6
T00313 | dfs            | rule=DEFAULT_PLANNER                | path= 270 | nodes=  549 |  1.655ms |    | dir=(1, 0) | score=6
T00314 | dfs            | rule=DEFAULT_PLANNER                | path= 269 | nodes=  547 |  1.910ms |    | dir=(1, 0) | score=6
T00315 | dfs            | rule=DEFAULT_PLANNER                | path= 268 | nodes=  545 |  1.940ms |    | dir=(1, 0) | score=6
T00316 | dfs            | rule=DEFAULT_PLANNER                | path= 267 | nodes=  543 |  1.565ms |    | dir=(1, 0) | score=6
T00317 | dfs            | rule=DEFAULT_PLANNER                | path= 266 | nodes=  541 |  2.855ms |    | dir=(1, 0) | score=6
T00318 | dfs            | rule=DEFAULT_PLANNER                | path= 265 | nodes=  539 |  1.597ms |    | dir=(1, 0) | score=6
T00319 | dfs            | rule=DEFAULT_PLANNER                | path= 264 | nodes=  537 |  2.368ms |    | dir=(1, 0) | score=6
T00320 | dfs            | rule=DEFAULT_PLANNER                | path= 263 | nodes=  535 |  1.615ms |    | dir=(1, 0) | score=6
T00321 | dfs            | rule=DEFAULT_PLANNER                | path= 262 | nodes=  533 |  1.651ms |    | dir=(1, 0) | score=6
T00322 | dfs            | rule=DEFAULT_PLANNER                | path= 261 | nodes=  531 |  1.524ms |    | dir=(1, 0) | score=6
T00323 | dfs            | rule=DEFAULT_PLANNER                | path= 260 | nodes=  529 |  1.540ms |    | dir=(1, 0) | score=6
T00324 | dfs            | rule=DEFAULT_PLANNER                | path= 259 | nodes=  527 |  2.038ms |    | dir=(1, 0) | score=6
T00325 | dfs            | rule=DEFAULT_PLANNER                | path= 258 | nodes=  525 |  2.095ms |    | dir=(1, 0) | score=6
T00326 | dfs            | rule=DEFAULT_PLANNER                | path= 257 | nodes=  523 |  2.924ms |    | dir=(1, 0) | score=6
T00327 | dfs            | rule=DEFAULT_PLANNER                | path= 256 | nodes=  521 |  1.169ms |    | dir=(1, 0) | score=6
T00328 | dfs            | rule=DEFAULT_PLANNER                | path= 255 | nodes=  706 |  2.633ms |    | dir=(1, 0) | score=6
T00329 | dfs            | rule=DEFAULT_PLANNER                | path= 254 | nodes=  706 |  2.865ms |    | dir=(1, 0) | score=6
T00330 | dfs            | rule=DEFAULT_PLANNER                | path= 253 | nodes=  706 |  1.897ms |    | dir=(1, 0) | score=6
T00331 | bfs            | rule=DEFAULT_PLANNER                | path=  19 | nodes=  602 |  3.722ms |    | dir=(0, -1) | score=6
T00332 | bfs            | rule=DEFAULT_PLANNER                | path=  18 | nodes=  572 |  2.170ms |    | dir=(0, -1) | score=6
T00333 | bfs            | rule=DEFAULT_PLANNER                | path=  17 | nodes=  538 |  2.764ms |    | dir=(0, -1) | score=6
T00334 | bfs            | rule=DEFAULT_PLANNER                | path=  16 | nodes=  500 |  2.034ms |    | dir=(0, -1) | score=6
T00335 | bfs            | rule=DEFAULT_PLANNER                | path=  15 | nodes=  458 |  2.753ms |    | dir=(0, -1) | score=6
T00336 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  414 |  1.792ms |    | dir=(0, -1) | score=6
T00337 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  370 |  2.388ms |    | dir=(0, -1) | score=6
T00338 | bfs            | rule=DEFAULT_PLANNER                | path=  12 | nodes=  337 |  1.203ms |    | dir=(-1, 0) | score=6
T00339 | bfs            | rule=DEFAULT_PLANNER                | path=  11 | nodes=  289 |  1.920ms |    | dir=(-1, 0) | score=6
T00340 | bfs            | rule=DEFAULT_PLANNER                | path=  10 | nodes=  245 |  1.176ms |    | dir=(-1, 0) | score=6
T00341 | bfs            | rule=DEFAULT_PLANNER                | path=   9 | nodes=  203 |  1.726ms |    | dir=(-1, 0) | score=6
T00342 | bfs            | rule=DEFAULT_PLANNER                | path=   8 | nodes=  165 |  1.125ms |    | dir=(-1, 0) | score=6
T00343 | bfs            | rule=DEFAULT_PLANNER                | path=   7 | nodes=  132 |  0.518ms |    | dir=(-1, 0) | score=6
T00344 | bfs            | rule=DEFAULT_PLANNER                | path=   6 | nodes=  104 |  0.748ms |    | dir=(-1, 0) | score=6
T00345 | bfs            | rule=DEFAULT_PLANNER                | path=   5 | nodes=   78 |  0.849ms |    | dir=(-1, 0) | score=6
T00346 | bfs            | rule=DEFAULT_PLANNER                | path=   4 | nodes=   55 |  0.667ms |    | dir=(-1, 0) | score=6
T00347 | bfs            | rule=DEFAULT_PLANNER                | path=   3 | nodes=   36 |  0.587ms |    | dir=(-1, 0) | score=6
T00348 | bfs            | rule=DEFAULT_PLANNER                | path=   2 | nodes=   21 |  0.960ms |    | dir=(-1, 0) | score=6
T00349 | bfs            | rule=FOOD_ADJACENT                  | path=   0 | nodes=    0 |  0.549ms | FB | dir=(-1, 0) | score=6
EVENT  FOOD_EATEN score=7
T00350 | bfs            | rule=DEFAULT_PLANNER                | path=  23 | nodes=  689 |  2.786ms |    | dir=(0, 1) | score=7
T00351 | bfs            | rule=DEFAULT_PLANNER                | path=  22 | nodes=  668 |  2.528ms |    | dir=(0, 1) | score=7
T00352 | bfs            | rule=DEFAULT_PLANNER                | path=  21 | nodes=  650 |  3.102ms |    | dir=(0, 1) | score=7
T00353 | bfs            | rule=DEFAULT_PLANNER                | path=  20 | nodes=  628 |  3.018ms |    | dir=(0, 1) | score=7
T00354 | bfs            | rule=DEFAULT_PLANNER                | path=  19 | nodes=  602 |  2.210ms |    | dir=(0, 1) | score=7
T00355 | bfs            | rule=DEFAULT_PLANNER                | path=  18 | nodes=  572 |  3.270ms |    | dir=(0, 1) | score=7
T00356 | bfs            | rule=DEFAULT_PLANNER                | path=  17 | nodes=  538 |  2.171ms |    | dir=(0, 1) | score=7
T00357 | bfs            | rule=DEFAULT_PLANNER                | path=  16 | nodes=  500 |  2.807ms |    | dir=(0, 1) | score=7
T00358 | bfs            | rule=DEFAULT_PLANNER                | path=  15 | nodes=  458 |  2.473ms |    | dir=(0, 1) | score=7
T00359 | bfs            | rule=DEFAULT_PLANNER                | path=  14 | nodes=  414 |  1.266ms |    | dir=(0, 1) | score=7
T00360 | bfs            | rule=DEFAULT_PLANNER                | path=  13 | nodes=  370 |  1.536ms |    | dir=(0, 1) | score=7
T00361 | greedy         | rule=DEFAULT_PLANNER                | path=  12 | nodes=   37 |  0.645ms |    | dir=(1, 0) | score=7
T00362 | greedy         | rule=DEFAULT_PLANNER                | path=  11 | nodes=   34 |  0.651ms |    | dir=(1, 0) | score=7
T00363 | greedy         | rule=DEFAULT_PLANNER                | path=  10 | nodes=   31 |  0.767ms |    | dir=(1, 0) | score=7
T00364 | greedy         | rule=DEFAULT_PLANNER                | path=   9 | nodes=   28 |  0.574ms |    | dir=(1, 0) | score=7
